"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"15";" P ";" Phosphorus";" 30.973762(2)";"FF8000";"[Ne] 3s2 3p3 ";16;15;15;3;15;"2.19";"106";"44 (+3)";"180";"1012";"-72";"-3, -2, -1, 1, 2, 3, 4, 5";"solid";"   ";"covalent network";"317";"554";"1.823";"1";"nonmetal";"1669";3;5
"16";" S ";" Sulfur";" 32.065(5)";"FFFF30";"[Ne] 3s2 3p4 ";16;16;16;3;16;"2.58";"102";"184 (-2)";"180";"1000";"-200";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"covalent network";"388";"718";"1.96";1;"nonmetal";"Ancient";3;6
"17";" Cl ";" Chlorine";" 35.453(2)";"1FF01F";"[Ne] 3s2 3p5 ";18;17;17;3;17;"3.16";"99";"181 (-1)";"175";"1251";"-349";"-1, 1, 2, 3, 4, 5, 6, 7";"gas";"   ";"covalent network";"172";"239";"0.003214";3;"halogen";"1774";3;7
"18";" Ar ";" Argon";" 39.948(1)";"80D1E3";"[Ne] 3s2 3p6 ";22;18;18;3;18;;"97";;"188";"1521";"0";;"gas";"   ";"atomic";"84";"87";"0.001784";7;"noble gas";"1894";3;8
"19";" K ";" Potassium";" 39.0983(1)";"8F40D4";"[Ar] 4s1 ";20;19;19;4;1;"0.82";"196";"138 (+1)";"275";"419";"-48";"1";"solid";"   ";"metallic";"337";"1032";"0.856";"4";"alkali metal";"1807";4;1
"20";" Ca ";" Calcium";" 40.078(4)";"3DFF00";"[Ar] 4s2 ";20;20;20;4;2;"1";"174";"100 (+2)";;"590";"-2";"2";"solid";"   ";"metallic";"1115";"1757";"1.55";6;"alkaline earth metal";"Ancient";4;2
"21";" Sc ";" Scandium";" 44.955912(6)";"E6E6E6";"[Ar] 3d1 4s2 ";24;21;21;4;3;"1.36";"144";"74.5 (+3)";;"633";"-18";"1, 2, 3";"solid";"   ";"metallic";"1814";"3103";"2.985";"8";"transition metal";"1876";4;
"22";" Ti ";" Titanium";" 47.867(1)";"BFC2C7";"[Ar] 3d2 4s2 ";26;22;22;4;4;"1.54";"136";"86 (+2)";;"659";"-8";"-1, 2, 3, 4";"solid";"   ";"metallic";"1941";"3560";"4.507";"8";"transition metal";"1791";4;
"23";" V ";" Vanadium";" 50.9415(1)";"A6A6AB";"[Ar] 3d3 4s2 ";28;23;23;4;5;"1.63";"125";"79 (+2)";;"651";"-51";"-1, 2, 3, 4";"solid";"   ";"metallic";"2183";"3680";"6.11";"8";"transition metal";"1803";4;
"24";" Cr ";" Chromium";" 51.9961(6)";"8A99C7";"[Ar] 3d5 4s1 ";28;24;24;4;6;"1.66";"127";"80 (+2*)";;"653";"-64";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2180";"2944";"7.14";"8";"transition metal";"Ancient";4;
"25";" Mn ";" Manganese";" 54.938045(5)";"9C7AC7";"[Ar] 3d5 4s2 ";30;25;25;4;7;"1.55";"139";"67 (+2)";;"717";"0";"-3, -2, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"   ";"metallic";"1519";"2334";"7.47";"8";"transition metal";"1774";4;
"26";" Fe ";" Iron";" 55.845(2)";"E06633";"[Ar] 3d6 4s2 ";30;26;26;4;8;"1.83";"125";"78 (+2*)";;"763";"-16";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"1811";"3134";"7.874";"8";"transition metal";"Ancient";4;
"27";" Co ";" Cobalt";" 58.933195(5)";"F090A0";"[Ar] 3d7 4s2 ";32;27;27;4;9;"1.88";"126";"74.5 (+2*)";;"760";"-64";"-1, 1, 2, 3, 4, 5";"solid";"   ";"metallic";"1768";"3200";"8.9";"8";"transition metal";"Ancient";4;
"28";" Ni ";" Nickel";" 58.6934(4)";"50D050";"[Ar] 3d8 4s2 ";31;28;28;4;10;"1.91";"121";"69 (+2)";"163";"737";"-112";"-1, 1, 2, 3, 4";"solid";"   ";"metallic";"1728";"3186";"8.908";"8";"transition metal";"1751";4;
"29";" Cu ";" Copper";" 63.546(3)";"C88033";"[Ar] 3d10 4s1 ";35;29;29;4;11;"1.9";"138";"77 (+1)";"140";"746";"-118";"1, 2, 3, 4";"solid";"   ";"metallic";"1358";"3200";"8.92";"8";"transition metal";"Ancient";4;
"30";" Zn ";" Zinc";" 65.38(2)";"7D80B0";"[Ar] 3d10 4s2 ";35;30;30;4;12;"1.65";"131";"74 (+2)";"139";"906";"0";"2";"solid";"   ";"metallic";"693";"1180";"7.14";"8";"transition metal";"1746";4;
"31";" Ga ";" Gallium";" 69.723(1)";"C28F8F";"[Ar] 3d10 4s2 4p1 ";39;31;31;4;13;"1.81";"126";"62 (+3)";"187";"579";"-29";"1, 2, 3";"solid";"   ";"metallic";"303";"2477";"5.904";"2";"metal";"1875";4;3
"32";" Ge ";" Germanium";" 72.64(1)";"668F8F";"[Ar] 3d10 4s2 4p2 ";41;32;32;4;14;"2.01";"122";"73 (+2)";;"762";"-119";"-4, 1, 2, 3, 4";"solid";"   ";"metallic";"1211";"3093";"5.323";"5";"metalloid";"1886";4;4
"33";" As ";" Arsenic";" 74.92160(2)";"BD80E3";"[Ar] 3d10 4s2 4p3 ";42;33;33;4;15;"2.18";"119";"58 (+3)";"185";"947";"-78";"-3, 2, 3, 5";"solid";"   ";"metallic";"1090";"887";"5.727";"5";"metalloid";"Ancient";4;5
"34";" Se ";" Selenium";" 78.96(3)";"FFA100";"[Ar] 3d10 4s2 4p4 ";45;34;34;4;16;"2.55";"116";"198 (-2)";"190";"941";"-195";"-2, 2, 4, 6";"solid";"   ";"metallic";"494";"958";"4.819";"1";"nonmetal";"1817";4;6
"35";" Br ";" Bromine";" 79.904(1)";"A62929";"[Ar] 3d10 4s2 4p5 ";45;35;35;4;17;"2.96";"114";"196 (-1)";"185";"1140";"-325";"-1, 1, 3, 4, 5, 7";"liquid";"   ";"covalent network";"266";"332";"3.12";3;"halogen";"1826";4;7
"36";" Kr ";" Krypton";" 83.798(2)";"5CB8D1";"[Ar] 3d10 4s2 4p6 ";48;36;36;4;18;;"110";;"202";"1351";"0";"2";"gas";"   ";"atomic";"116";"120";"0.00375";7;"noble gas";"1898";4;8
"37";" Rb ";" Rubidium";" 85.4678(3)";"702EB0";"[Kr] 5s1 ";48;37;37;5;1;"0.82";"211";"152 (+1)";;"403";"-47";"1";"solid";"   ";"metallic";"312";"961";"1.532";"4";"alkali metal";"1861";5;1
"38";" Sr ";" Strontium";" 87.62(1)";"00FF00";"[Kr] 5s2 ";50;38;38;5;2;"0.95";"192";"118 (+2)";;"550";"-5";"2";"solid";"   ";"metallic";"1050";"1655";"2.63";6;"alkaline earth metal";"1790";5;2
"39";" Y ";" Yttrium";" 88.90585(2)";"94FFFF";"[Kr] 4d1 5s2 ";50;39;39;5;3;"1.22";"162";"90 (+3)";;"600";"-30";"1, 2, 3";"solid";"   ";"metallic";"1799";"3618";"4.472";"9";"transition metal";"1794";5;
"40";" Zr ";" Zirconium";" 91.224(2)";"94E0E0";"[Kr] 4d2 5s2 ";51;40;40;5;4;"1.33";"148";"72 (+4)";;"640";"-41";"1, 2, 3, 4";"solid";"   ";"metallic";"2128";"4682";"6.511";"9";"transition metal";"1789";5;
"41";" Nb ";" Niobium";" 92.90638(2)";"73C2C9";"[Kr] 4d4 5s1 ";52;41;41;5;5;"1.6";"137";"72 (+3)";;"652";"-86";"-1, 2, 3, 4, 5";"solid";"   ";"metallic";"2750";"5017";"8.57";"9";"transition metal";"1801";5;
"42";" Mo ";" Molybdenum";" 95.96(2)";"54B5B5";"[Kr] 4d5 5s1 ";54;42;42;5;6;"2.16";"145";"69 (+3)";;"684";"-72";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2896";"4912";"10.28";"9";"transition metal";"1778";5;
"43";" Tc ";" Technetium";" [98]";"3B9E9E";"[Kr] 4d5 5s2 ";55;43;43;5;7;"1.9";"156";"64.5 (+4)";;"702";"-53";"-3, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"yes";"metallic";"2430";"4538";"11.5";"9";"transition metal";"1937";5;
"44";" Ru ";" Ruthenium";" 101.07(2)";"248F8F";"[Kr] 4d7 5s1 ";57;44;44;5;8;"2.2";"126";"68 (+3)";;"710";"-101";"-2, 1, 2, 3, 4, 5, 6, 7, 8";"solid";"   ";"metallic";"2607";"4423";"12.37";"9";"transition metal";"1827";5;
"45";" Rh ";" Rhodium";" 102.90550(2)";"0A7D8C";"[Kr] 4d8 5s1 ";58;45;45;5;9;"2.28";"135";"66.5 (+3)";;"720";"-110";"-1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2237";"3968";"12.45";"9";"transition metal";"1803";5;
"46";" Pd ";" Palladium";" 106.42(1)";"6985";"[Kr] 4d10 ";60;46;46;5;10;"2.2";"131";"59 (+1)";"163";"804";"-54";"2, 4";"solid";"   ";"metallic";"1828";"3236";"12.023";"9";"transition metal";"1803";5;
"47";" Ag ";" Silver";" 107.8682(2)";"C0C0C0";"[Kr] 4d10 5s1 ";61;47;47;5;11;"1.93";"153";"115 (+1)";"172";"731";"-126";"1, 2, 3";"solid";"   ";"metallic";"1235";"2435";"10.49";"9";"transition metal";"Ancient";5;
"48";" Cd ";" Cadmium";" 112.411(8)";"FFD98F";"[Kr] 4d10 5s2 ";64;48;48;5;12;"1.69";"148";"95 (+2)";"158";"868";"0";"2";"solid";"   ";"metallic";"594";"1040";"8.65";"9";"transition metal";"1817";5;
"49";" In ";" Indium";" 114.818(3)";"A67573";"[Kr] 4d10 5s2 5p1 ";66;49;49;5;13;"1.78";"144";"80 (+3)";"193";"558";"-29";"1, 2, 3";"solid";"   ";"metallic";"430";"2345";"7.31";2;"metal";"1863";5;3
"50";" Sn ";" Tin";" 118.710(7)";"668080";"[Kr] 4d10 5s2 5p2 ";69;50;50;5;14;"1.96";"141";"112 (+2)";"217";"709";"-107";"-4, 2, 4";"solid";"   ";"metallic";"505";"2875";"7.31";2;"metal";"Ancient";5;4
"51";" Sb ";" Antimony";" 121.760(1)";"9E63B5";"[Kr] 4d10 5s2 5p3 ";71;51;51;5;15;"2.05";"138";"76 (+3)";;"834";"-103";"-3, 3, 5";"solid";"   ";"metallic";"904";"1860";"6.697";"5";"metalloid";"Ancient";5;5
"52";" Te ";" Tellurium";" 127.60(3)";"D47A00";"[Kr] 4d10 5s2 5p4 ";76;52;52;5;16;"2.1";"135";"221 (-2)";"206";"869";"-190";"-2, 2, 4, 5, 6";"solid";"   ";"metallic";"723";"1261";"6.24";5;"metalloid";"1782";5;6
"53";" I ";" Iodine";" 126.90447(3)";"940094";"[Kr] 4d10 5s2 5p5 ";74;53;53;5;17;"2.66";"133";"220 (-1)";"198";"1008";"-295";"-1, 1, 3, 5, 7";"solid";"   ";"covalent network";"387";"457";"4.94";3;"halogen";"1811";5;7
"54";" Xe ";" Xenon";" 131.293(6)";"429EB0";"[Kr] 4d10 5s2 5p6 ";77;54;54;5;18;;"130";"48 (+8)";"216";"1170";"0";"2, 4, 6, 8";"gas";"   ";"atomic";"161";"165";"0.0059";7;"noble gas";"1898";5;8
"55";" Cs ";" Cesium";" 132.9054519(2)";"57178F";"[Xe] 6s1 ";78;55;55;6;1;"0.79";"225";"167 (+1)";;"376";"-46";"1";"solid";"   ";"metallic";"302";"944";"1.879";"4";"alkali metal";"1860";6;1
"56";" Ba ";" Barium";" 137.327(7)";"00C900";"[Xe] 6s2 ";81;56;56;6;2;"0.89";"198";"135 (+2)";;"503";"-14";"2";"solid";"   ";"metallic";"1000";"2143";"3.51";6;"alkaline earth metal";"1808";6;2
"57";" La ";" Lanthanum";" 138.90547(7)";"70D4FF";"[Xe] 5d1 6s2 ";82;57;57;6;3;"1.1";"169";"103.2 (+3)";;"538";"-48";"2, 3";"solid";"   ";"metallic";"1193";"3737";"6.146";"12";"lanthanoid";"1839";6;
"58";" Ce ";" Cerium";" 140.116(1)";"FFFFC7";"[Xe] 4f1 5d1 6s2 ";82;58;58;6;3;"1.12";;"102 (+3)";;"534";"-50";"2, 3, 4";"solid";"   ";"metallic";"1071";"3633";"6.689";"12";"lanthanoid";"1803";6;
"59";" Pr ";" Praseodymium";" 140.90765(2)";"D9FFC7";"[Xe] 4f3 6s2 ";82;59;59;6;3;"1.13";;"99 (+3)";;"527";"-50";"2, 3, 4";"solid";"   ";"metallic";"1204";"3563";"6.64";"12";"lanthanoid";"1885";6;
"60";" Nd ";" Neodymium";" 144.242(3)";"C7FFC7";"[Xe] 4f4 6s2 ";84;60;60;6;3;"1.14";;"129 (+2)";;"533";"-50";"2, 3";"solid";"   ";"metallic";"1294";"3373";"7.01";"12";"lanthanoid";"1885";6;
"61";" Pm ";" Promethium";" [145]";"A3FFC7";"[Xe] 4f5 6s2 ";84;61;61;6;3;"1.13";;"97 (+3)";;"540";"-50";"3";"solid";"yes";"metallic";"1373";"3273";"7.264";"12";"lanthanoid";"1947";6;
"62";" Sm ";" Samarium";" 150.36(2)";"8FFFC7";"[Xe] 4f6 6s2 ";88;62;62;6;3;"1.17";;"122 (+2)";;"545";"-50";"2, 3";"solid";"   ";"metallic";"1345";"2076";"7.353";"12";"lanthanoid";"1853";6;
"63";" Eu ";" Europium";" 151.964(1)";"61FFC7";"[Xe] 4f7 6s2 ";89;63;63;6;3;"1.2";;"117 (+2)";;"547";"-50";"2, 3";"solid";"   ";"metallic";"1095";"1800";"5.244";"12";"lanthanoid";"1901";6;
"64";" Gd ";" Gadolinium";" 157.25(3)";"45FFC7";"[Xe] 4f7 5d1 6s2 ";93;64;64;6;3;"1.2";;"93.8 (+3)";;"593";"-50";"1, 2, 3";"solid";"   ";"metallic";"1586";"3523";"7.901";"12";"lanthanoid";"1880";6;
"65";" Tb ";" Terbium";" 158.92535(2)";"30FFC7";"[Xe] 4f9 6s2 ";94;65;65;6;3;"1.2";;"92.3 (+3)";;"566";"-50";"1, 3, 4";"solid";"   ";"metallic";"1629";"3503";"8.219";"12";"lanthanoid";"1843";6;
"66";" Dy ";" Dysprosium";" 162.500(1)";"1FFFC7";"[Xe] 4f10 6s2 ";97;66;66;6;3;"1.22";;"107 (+2)";;"573";"-50";"2, 3";"solid";"   ";"metallic";"1685";"2840";"8.551";"12";"lanthanoid";"1886";6;
"67";" Ho ";" Holmium";" 164.93032(2)";"00FF9C";"[Xe] 4f11 6s2 ";98;67;67;6;3;"1.23";;"90.1 (+3)";;"581";"-50";"3";"solid";"   ";"metallic";"1747";"2973";"8.795";"12";"lanthanoid";"1878";6;
"68";" Er ";" Erbium";" 167.259(3)";"0.00E+00";"[Xe] 4f12 6s2 ";99;68;68;6;3;"1.24";;"89 (+3)";;"589";"-50";"3";"solid";"   ";"metallic";"1770";"3141";"9.066";"12";"lanthanoid";"1842";6;
"69";" Tm ";" Thulium";" 168.93421(2)";"00D452";"[Xe] 4f13 6s2 ";100;69;69;6;3;"1.25";;"103 (+2)";;"597";"-50";"2, 3";"solid";"   ";"metallic";"1818";"2223";"9.321";"12";"lanthanoid";"1879";6;
"70";" Yb ";" Ytterbium";" 173.054(5)";"00BF38";"[Xe] 4f14 6s2 ";103;70;70;6;3;"1.1";;"102 (+2)";;"603";"-50";"2, 3";"solid";"   ";"metallic";"1092";"1469";"6.57";"12";"lanthanoid";"1878";6;
"71";" Lu ";" Lutetium";" 174.9668(1)";"00AB24";"[Xe] 4f14 5d1 6s2 ";104;71;71;6;3;"1.27";"160";"86.1 (+3)";;"524";"-50";"3";"solid";"   ";"metallic";"1936";"3675";"9.841";"12";"lanthanoid";"1907";6;
"72";" Hf ";" Hafnium";" 178.49(2)";"4DC2FF";"[Xe] 4f14 5d2 6s2 ";106;72;72;6;4;"1.3";"150";"71 (+4)";;"659";"0";"2, 3, 4";"solid";"   ";"metallic";"2506";"4876";"13.31";10;"transition metal";"1923";6;
"73";" Ta ";" Tantalum";" 180.94788(2)";"4DA6FF";"[Xe] 4f14 5d3 6s2 ";108;73;73;6;5;"1.5";"138";"72 (+3)";;"761";"-31";"-1, 2, 3, 4, 5";"solid";"   ";"metallic";"3290";"5731";"16.65";10;"transition metal";"1802";6;
"74";" W ";" Tungsten";" 183.84(1)";"2194D6";"[Xe] 4f14 5d4 6s2 ";110;74;74;6;6;"2.36";"146";"66 (+4)";;"770";"-79";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"3695";"5828";"19.25";10;"transition metal";"1783";6;
"75";" Re ";" Rhenium";" 186.207(1)";"267DAB";"[Xe] 4f14 5d5 6s2 ";111;75;75;6;7;"1.9";"159";"63 (+4)";;"760";"-15";"-3, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"   ";"metallic";"3459";"5869";"21.02";10;"transition metal";"1925";6;
"76";" Os ";" Osmium";" 190.23(3)";"266696";"[Xe] 4f14 5d6 6s2 ";114;76;76;6;8;"2.2";"128";"63 (+4)";;"840";"-106";"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8";"solid";"   ";"metallic";"3306";"5285";"22.61";10;"transition metal";"1803";6;
"77";" Ir ";" Iridium";" 192.217(3)";"175487";"[Xe] 4f14 5d7 6s2 ";115;77;77;6;9;"2.2";"137";"68 (+3)";;"880";"-151";"-3, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2739";"4701";"22.65";10;"transition metal";"1803";6;
"78";" Pt ";" Platinum";" 195.084(9)";"D0D0E0";"[Xe] 4f14 5d9 6s1 ";117;78;78;6;10;"2.28";"128";"86 (+2)";"175";"870";"-205";"2, 4, 5, 6";"solid";"   ";"metallic";"2041";"4098";"21.09";10;"transition metal";"Ancient";6;
"79";" Au ";" Gold";" 196.966569(4)";"FFD123";"[Xe] 4f14 5d10 6s1 ";118;79;79;6;11;"2.54";"144";"137 (+1)";"166";"890";"-223";"-1, 1, 2, 3, 5";"solid";"   ";"metallic";"1337";"3129";"19.3";10;"transition metal";"Ancient";6;
"80";" Hg ";" Mercury";" 200.59(2)";"B8B8D0";"[Xe] 4f14 5d10 6s2 ";121;80;80;6;12;"2";"149";"119 (+1)";"155";"1007";"0";"1, 2, 4";"liquid";"   ";"metallic";"234";"630";"13.534";10;"transition metal";"Ancient";6;
"81";" Tl ";" Thallium";" 204.3833(2)";"A6544D";"[Xe] 4f14 5d10 6s2 6p1 ";123;81;81;6;13;"2.04";"148";"150 (+1)";"196";"589";"-19";"1, 3";"solid";"   ";"metallic";"577";"1746";"11.85";2;"metal";"1861";6;3
"82";" Pb ";" Lead";" 207.2(1)";"575961";"[Xe] 4f14 5d10 6s2 6p2 ";125;82;82;6;14;"2.33";"147";"119 (+2)";"202";"716";"-35";"-4, 2, 4";"solid";"   ";"metallic";"601";"2022";"11.34";2;"metal";"Ancient";6;4
"83";" Bi ";" Bismuth";" 208.98040(1)";"9E4FB5";"[Xe] 4f14 5d10 6s2 6p3 ";126;83;83;6;15;"2.02";"146";"103 (+3)";;"703";"-91";"-3, 3, 5";"solid";"   ";"metallic";"544";"1837";"9.78";2;"metal";"Ancient";6;5
"84";" Po ";" Polonium";" [209]";"AB5C00";"[Xe] 4f14 5d10 6s2 6p4 ";126;84;84;6;16;"2";;"94 (+4)";;"812";"-183";"-2, 2, 4, 6";"solid";"yes";"metallic";"527";"1235";"9.196";"5";"metalloid";"1898";6;6
"85";" At ";" Astatine";" [210]";"754F45";"[Xe] 4f14 5d10 6s2 6p5 ";125;85;85;6;17;"2.2";;"62 (+7)";;"920";"-270";"-1, 1, 3, 5";"solid";"yes";"covalent network";"575";;;3;"halogen";"1940";6;7
"86";" Rn ";" Radon";" [222]";"428296";"[Xe] 4f14 5d10 6s2 6p6 ";136;86;86;6;18;;"145";;;"1037";;"2";"gas";"yes";"atomic";"202";"211";"0.00973";7;"noble gas";"1900";6;8
"87";" Fr ";" Francium";" [223]";"420066";"[Rn] 7s1 ";136;87;87;7;1;"0.7";;"180 (+1)";;"380";;"1";"solid";"yes";"metallic";;;;4;"alkali metal";"1939";7;1
"88";" Ra ";" Radium";" [226]";"007D00";"[Rn] 7s2 ";138;88;88;7;2;"0.9";;"148 (+2)";;"509";;"2";"solid";"yes";"metallic";"973";"2010";"5";"6";"alkaline earth metal";"1898";7;2
"89";" Ac ";" Actinium";" [227]";"70ABFA";"[Rn] 6d1 7s2 ";138;89;89;7;3;"1.1";;"112 (+3)";;"499";;"3";"solid";"yes";"metallic";"1323";"3473";"10.07";13;"actinoid";"1899";7;
"90";" Th ";" Thorium";" 232.03806(2)";"00BAFF";"[Rn] 6d2 7s2 ";142;90;90;7;3;"1.3";;"94 (+4)";;"587";;"2, 3, 4";"solid";"yes";"metallic";"2023";"5093";"11.724";13;"actinoid";"1828";7;
"91";" Pa ";" Protactinium";" 231.03588(2)";"00A1FF";"[Rn] 5f2 6d1 7s2 ";140;91;91;7;3;"1.5";;"104 (+3)";;"568";;"3, 4, 5";"solid";"yes";"metallic";"1845";"4273";"15.37";13;"actinoid";"1913";7;
"92";" U ";" Uranium";" 238.02891(3)";"008FFF";"[Rn] 5f3 6d1 7s2 ";146;92;92;7;3;"1.38";;"102.5 (+3)";"186";"598";;"3, 4, 5, 6";"solid";"yes";"metallic";"1408";"4200";"19.05";13;"actinoid";"1789";7;
"93";" Np ";" Neptunium";" [237]";"0080FF";"[Rn] 5f4 6d1 7s2 ";144;93;93;7;3;"1.36";;"110 (+2)";;"605";;"3, 4, 5, 6, 7";"solid";"yes";"metallic";"917";"4273";"20.45";13;"actinoid";"1940";7;
"94";" Pu ";" Plutonium";" [244]";"006BFF";"[Rn] 5f6 7s2 ";150;94;94;7;3;"1.28";;"100 (+3)";;"585";;"3, 4, 5, 6, 7";"solid";"yes";"metallic";"913";"3503";"19.816";13;"actinoid";"1940";7;
"95";" Am ";" Americium";" [243]";"545CF2";"[Rn] 5f7 7s2 ";148;95;95;7;3;"1.3";;"126 (+2)";;"578";;"2, 3, 4, 5, 6";"solid";"yes";"metallic";"1449";"2284";;13;"actinoid";"1944";7;
"96";" Cm ";" Curium";" [247]";"785CE3";"[Rn] 5f7 6d1 7s2 ";151;96;96;7;3;"1.3";;"97 (+3)";;"581";;"3, 4";"solid";"yes";"metallic";"1618";"3383";"13.51";13;"actinoid";"1944";7;
"97";" Bk ";" Berkelium";" [247]";"8A4FE3";"[Rn] 5f9 7s2 ";150;97;97;7;3;"1.3";;"96 (+3)";;"601";;"3, 4";"solid";"yes";"metallic";"1323";;"14.78";13;"actinoid";"1949";7;
"98";" Cf ";" Californium";" [251]";"A136D4";"[Rn] 5f10 7s2 ";153;98;98;7;3;"1.3";;"95 (+3)";;"608";;"2, 3, 4";"solid";"yes";"metallic";"1173";;"15.1";13;"actinoid";"1950";7;
"99";" Es ";" Einsteinium";" [252]";"B31FD4";"[Rn] 5f11 7s2 ";153;99;99;7;3;"1.3";;;;"619";;"2, 3";"solid";"yes";;"1133";;;13;"actinoid";"1952";7;
"100";" Fm ";" Fermium";" [257]";"B31FBA";"[Rn] 5f12 7s2 ";157;100;100;7;3;"1.3";;;;"627";;"2, 3";;"yes";;"1800";;;13;"actinoid";"1952";7;
"101";" Md ";" Mendelevium";" [258]";"B30DA6";"[Rn] 5f13 7s2 ";157;101;101;7;3;"1.3";;;;"635";;"2, 3";;"yes";;"1100";;;13;"actinoid";"1955";7;
